"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"255","NMB",1.89683051719406e-10,-0.399316374891557,0.442,0.654,4.03038548293395e-06
"256","RHOV",1.99743113772229e-10,0.492078968400892,0.894,0.872,4.24414168143233e-06
"257","ACKR3",2.10880334883577e-10,-0.55099092025799,0.597,0.771,4.48078535560623e-06
"258","IRX3",2.11189325162171e-10,-0.363756314669028,0.337,0.543,4.48735078104581e-06
"259","VSIR",2.17661067674412e-10,0.418919729129716,0.581,0.388,4.62486236594591e-06
"260","ITGB1",2.33481718834427e-10,0.45438390892794,0.783,0.676,4.9610195617939e-06
"261","ANK3",2.79312350061573e-10,-0.356709461891503,0.264,0.457,5.93482881410831e-06
"262","CLIC1",2.85624291320685e-10,0.329658808327337,0.962,0.92,6.06894494198192e-06
"263","GABRP",3.15778624204242e-10,-0.368649637030879,0.746,0.867,6.70966420709173e-06
"264","TSEN34",3.36322364049593e-10,-0.404902276292729,0.485,0.702,7.14617759132574e-06
"265","ETS2",3.39361941001816e-10,0.507515335148758,0.606,0.415,7.21076252240658e-06
"266","NLRP2",3.55532169463947e-10,-0.380301944038241,0.391,0.601,7.55434753676994e-06
"267","SOCS2",5.66479421216426e-10,0.392893945602594,0.605,0.404,1.20365547420066e-05
"268","SEC61G",5.66730795960197e-10,0.359930075197506,0.919,0.872,1.20418959525623e-05
"269","TMPRSS4",5.77852138175671e-10,-0.392182246976705,0.651,0.798,1.22782022319566e-05
"270","ADAM9",6.02321474598239e-10,0.409243266652503,0.538,0.319,1.27981266922634e-05
"271","IFT57",6.5087935633939e-10,0.378699057183298,0.516,0.303,1.38298845634994e-05
"272","ERBB3",7.14449428997634e-10,-0.385415049725682,0.363,0.569,1.51806214673417e-05
"273","CKMT1A",7.44005801523808e-10,-0.319910543561839,0.278,0.463,1.58086352707779e-05
"274","TFPI",7.44786695583082e-10,0.519790112217533,0.357,0.154,1.58252277077493e-05
"275","CXCL10",7.95675388959615e-10,1.86978058631385,0.269,0.074,1.69065106646139e-05
"276","TST",8.04880518462724e-10,-0.347230713196138,0.369,0.569,1.7102101256296e-05
"277","NTRK2",9.50096074549402e-10,0.355873559199547,0.372,0.154,2.01876413920257e-05
"278","CDC42EP1",1.02506712698473e-09,0.324359194198412,0.48,0.255,2.17806263141715e-05
"279","FAM162A",1.12193606686623e-09,-0.298444747394408,0.852,0.947,2.38388975487737e-05
"280","HIST1H2BJ",1.37542706874445e-09,-0.415962879973847,0.37,0.564,2.9225074356682e-05
"281","IL2RG",1.48681712930602e-09,0.270124969535632,0.236,0.043,3.15918903634943e-05
"282","CYP51A1",1.57253171806352e-09,0.413497908360892,0.501,0.287,3.34131539454137e-05
"283","PRKX",1.58758958066626e-09,-0.268259979156135,0.254,0.447,3.37331034099966e-05
"284","HLA-C",1.68790877571165e-09,0.307612053273053,0.997,0.989,3.58646856663212e-05
"285","ID1",1.78959750674802e-09,0.477749407592112,0.974,0.957,3.8025367823382e-05
"286","SOX4",1.80363725063117e-09,-0.322545098811069,0.488,0.676,3.83236843014112e-05
"287","UQCRC1",1.88408462096091e-09,0.409164545033731,0.662,0.489,4.00330300261775e-05
"288","TNFRSF18",2.05197999424888e-09,-0.340553732262404,0.54,0.713,4.36004709178001e-05
"289","CAPN2",2.23198889183804e-09,0.381045291939185,0.825,0.723,4.74252999737746e-05
"290","EFEMP1",2.27224946714896e-09,0.315952436901176,0.222,0.037,4.82807566779811e-05
"291","GLUL",2.27314795834939e-09,-0.397289833960689,0.772,0.91,4.82998478190078e-05
"292","PSMB9",2.28220445318064e-09,0.445695388932021,0.882,0.798,4.84922802211821e-05
